Angle,Re a(+2)*1e-12,Im(a+2)*1e-12,Re a(+1)*1e-12,Im(a+1)*1e-12,Re a(0)*1e-12,Im(a0)*1e-12,Re(a-1)*1e-12,Im(a-1)*1e-12,Re(a-2)*1e-12,Im(a-2)*1e-12
0,0,0,0,0,341.4,-590.8,0,0,0,0
1,0.299,-0.02868,9.422,-12.51,341,-589.5,-9.422,12.51,0.299,-0.02868
2,1.185,-0.1129,18.7,-24.84,339.8,-585.6,-18.7,24.84,1.185,-0.1129
3,2.628,-0.2471,27.69,-36.8,337.7,-579.1,-27.69,36.8,2.628,-0.2471
4,4.576,-0.4226,36.26,-48.23,335,-570.3,-36.26,48.23,4.576,-0.4226
5,6.964,-0.6275,44.31,-58.96,331.6,-559.1,-44.31,58.96,6.964,-0.6275
6,9.713,-0.8479,51.74,-68.87,327.6,-545.9,-51.74,68.87,9.713,-0.8479
7,12.74,-1.068,58.48,-77.85,323.1,-530.9,-58.48,77.85,12.74,-1.068
8,15.95,-1.27,64.48,-85.8,318.1,-514.3,-64.48,85.8,15.95,-1.27
9,19.249999,-1.439,69.72,-92.68,312.9,-496.3,-69.72,92.68,19.25,-1.439
10,22.560001,-1.557,74.18,-98.44,307.3,-477.2,-74.18,98.44,22.56,-1.557
11,25.799999,-1.609,77.87,-103.1,301.5,-457.3,-77.87,103.1,25.8,-1.609
12,28.89,-1.583,80.81,-106.6,295.6,-436.7,-80.81,106.6,28.89,-1.583
13,31.779999,-1.466,83.04,-109.1,289.5,-415.8,-83.04,109.1,31.78,-1.466
14,34.420002,-1.252,84.6,-110.6,283.3,-394.8,-84.6,110.6,34.42,-1.252
15,36.760001,-0.9341,85.52,-111.2,277.1,-373.8,-85.52,111.2,36.76,-0.9341
16,38.789999,-0.5118,85.86,-110.9,270.8,-353,-85.86,110.9,38.79,-0.5118
17,40.469999,0.0141,85.68,-109.9,264.4,-332.5,-85.68,109.9,40.47,0.0141
18,41.81,0.6393,85.01,-108.2,258.1,-312.4,-85.01,108.2,41.81,0.6393
19,42.809999,1.357,83.91,-106,251.7,-292.9,-83.91,106,42.81,1.357
20,43.459999,2.158,82.43,-103.4,245.3,-273.9,-82.43,103.4,43.46,2.158
21,43.78,3.03,80.62,-100.3,238.8,-255.6,-80.62,100.3,43.78,3.03
22,43.789999,3.962,78.52,-96.99,232.4,-238,-78.52,96.99,43.79,3.962
23,43.499999,4.94,76.17,-93.45,226,-221.1,-76.17,93.45,43.5,4.94
24,42.950001,5.949,73.62,-89.77,219.5,-204.9,-73.62,89.77,42.95,5.949
25,42.14,6.977,70.9,-86.01,213.1,-189.4,-70.9,86.01,42.14,6.977
26,41.110001,8.01,68.04,-82.21,206.7,-174.6,-68.04,82.21,41.11,8.01
27,39.879999,9.035,65.09,-78.41,200.2,-160.4,-65.09,78.41,39.88,9.035
28,38.48,10.04,62.06,-74.66,193.8,-147,-62.06,74.66,38.48,10.04
29,36.930001,11.02,58.98,-70.99,187.4,-134.3,-58.98,70.99,36.93,11.02
30,35.250001,11.96,55.87,-67.42,180.9,-122.3,-55.87,67.42,35.25,11.96
31,33.48,12.85,52.75,-63.98,174.5,-110.9,-52.75,63.98,33.48,12.85
32,31.64,13.7,49.64,-60.68,168.1,-100.1,-49.64,60.68,31.64,13.7
33,29.739999,14.49,46.55,-57.55,161.6,-90.01,-46.55,57.55,29.74,14.49
34,27.82,15.23,43.5,-54.6,155.1,-80.54,-43.5,54.6,27.82,15.23
35,25.88,15.91,40.48,-51.85,148.7,-71.67,-40.48,51.85,25.88,15.91
36,23.939999,16.530001,37.52,-49.3,142.2,-63.39,-37.52,49.3,23.94,16.53
37,22.029999,17.09,34.63,-46.95,135.7,-55.69,-34.63,46.95,22.03,17.09
38,20.15,17.59,31.81,-44.83,129.3,-48.54,-31.81,44.83,20.15,17.59
39,18.330001,18.030001,29.08,-42.92,122.9,-41.92,-29.08,42.92,18.33,18.03
40,16.56,18.41,26.43,-41.22,116.5,-35.82,-26.43,41.22,16.56,18.41
41,14.85,18.74,23.89,-39.73,110.2,-30.21,-23.89,39.73,14.85,18.74
42,13.23,19.01,21.45,-38.45,104,-25.07,-21.45,38.45,13.23,19.01
43,11.67,19.23,19.12,-37.35,97.82,-20.38,-19.12,37.35,11.67,19.23
44,10.21,19.389999,16.92,-36.43,91.76,-16.12,-16.92,36.43,10.21,19.39
45,8.821,19.5,14.84,-35.66,85.82,-12.27,-14.84,35.66,8.821,19.5
46,7.524,19.559999,12.89,-35.05,80.01,-8.808,-12.89,35.05,7.524,19.56
47,6.315,19.57,11.08,-34.57,74.35,-5.723,-11.08,34.57,6.315,19.57
48,5.195,19.540001,9.411,-34.2,68.83,-2.999,-9.411,34.2,5.195,19.54
49,4.163,19.469999,7.883,-33.93,63.49,-0.6224,-7.883,33.93,4.163,19.47
50,3.219,19.370001,6.499,-33.74,58.32,1.421,-6.499,33.74,3.219,19.37
51,2.363,19.23,5.259,-33.63,53.33,3.142,-5.259,33.63,2.363,19.23
52,1.591,19.07,4.161,-33.58,48.55,4.553,-4.161,33.58,1.591,19.07
53,0.9023,18.879999,3.203,-33.58,43.96,5.667,-3.203,33.58,0.9023,18.88
54,0.2929,18.68,2.38,-33.61,39.59,6.497,-2.38,33.61,0.2929,18.68
55,-0.2411,18.459999,1.688,-33.68,35.44,7.057,-1.688,33.68,-0.2411,18.46
56,-0.7045,18.23,1.118,-33.77,31.51,7.362,-1.118,33.77,-0.7045,18.23
57,-1.103,18,0.6653,-33.87,27.82,7.427,-0.6653,33.87,-1.103,18
58,-1.441,17.76,0.3206,-33.97,24.36,7.27,-0.3206,33.97,-1.441,17.76
59,-1.727,17.52,0.0763,-34.08,21.15,6.909,-0.0763,34.08,-1.727,17.52
60,-1.965,17.280001,-0.07576,-34.17,18.19,6.362,0.07576,34.17,-1.965,17.28
61,-2.163,17.040001,-0.1436,-34.25,15.48,5.647,0.1436,34.25,-2.163,17.04
62,-2.327,16.799999,-0.1351,-34.31,13.01,4.784,0.1351,34.31,-2.327,16.8
63,-2.462,16.559999,-0.05775,-34.33,10.8,3.789,0.05775,34.33,-2.462,16.56
64,-2.573,16.33,0.08106,-34.32,8.843,2.68,-0.08106,34.32,-2.573,16.33
65,-2.666,16.1,0.2743,-34.26,7.127,1.473,-0.2743,34.26,-2.666,16.1
66,-2.745,15.87,0.515,-34.16,5.651,0.1818,-0.515,34.16,-2.745,15.87
67,-2.814,15.65,0.7964,-34.01,4.409,-1.179,-0.7964,34.01,-2.814,15.65
68,-2.876,15.44,1.112,-33.81,3.393,-2.599,-1.112,33.81,-2.876,15.44
69,-2.934,15.23,1.455,-33.55,2.594,-4.065,-1.455,33.55,-2.934,15.23
70,-2.99,15.04,1.819,-33.24,2.002,-5.568,-1.819,33.24,-2.99,15.04
71,-3.047,14.86,2.197,-32.88,1.606,-7.098,-2.197,32.88,-3.047,14.86
72,-3.106,14.69,2.583,-32.46,1.396,-8.645,-2.583,32.46,-3.106,14.69
73,-3.17,14.53,2.97,-32,1.361,-10.2,-2.97,32,-3.17,14.53
74,-3.239,14.4,3.354,-31.49,1.489,-11.75,-3.354,31.49,-3.239,14.4
75,-3.317,14.28,3.727,-30.93,1.771,-13.29,-3.727,30.93,-3.317,14.28
76,-3.404,14.17,4.086,-30.34,2.196,-14.81,-4.086,30.34,-3.404,14.17
77,-3.502,14.08,4.427,-29.71,2.754,-16.29,-4.427,29.71,-3.502,14.08
78,-3.613,14.01,4.744,-29.05,3.433,-17.73,-4.744,29.05,-3.613,14.01
79,-3.738,13.95,5.037,-28.35,4.225,-19.12,-5.037,28.35,-3.738,13.95
80,-3.877,13.9,5.303,-27.63,5.118,-20.44,-5.303,27.63,-3.877,13.9
81,-4.033,13.86,5.54,-26.88,6.104,-21.68,-5.54,26.88,-4.033,13.86
82,-4.204,13.83,5.749,-26.11,7.172,-22.84,-5.749,26.11,-4.204,13.83
83,-4.392,13.81,5.929,-25.33,8.313,-23.92,-5.929,25.33,-4.392,13.81
84,-4.597,13.78,6.081,-24.52,9.516,-24.9,-6.081,24.52,-4.597,13.78
85,-4.817,13.77,6.206,-23.69,10.77,-25.78,-6.206,23.69,-4.817,13.77
86,-5.052,13.75,6.306,-22.86,12.07,-26.56,-6.306,22.86,-5.052,13.75
87,-5.301,13.74,6.381,-22,13.4,-27.23,-6.381,22,-5.301,13.74
88,-5.563,13.73,6.432,-21.14,14.75,-27.81,-6.432,21.14,-5.563,13.73
89,-5.837,13.71,6.461,-20.28,16.12,-28.28,-6.461,20.28,-5.837,13.71
90,-6.121,13.7,6.468,-19.4,17.49,-28.65,-6.468,19.4,-6.121,13.7
91,-6.414,13.68,6.454,-18.53,18.87,-28.92,-6.454,18.53,-6.414,13.68
92,-6.715,13.66,6.419,-17.66,20.23,-29.09,-6.419,17.66,-6.715,13.66
93,-7.022,13.64,6.363,-16.79,21.58,-29.16,-6.363,16.79,-7.022,13.64
94,-7.335,13.61,6.285,-15.93,22.91,-29.14,-6.285,15.93,-7.335,13.61
95,-7.653,13.57,6.187,-15.09,24.21,-29.01,-6.187,15.09,-7.653,13.57
96,-7.974,13.52,6.067,-14.26,25.48,-28.8,-6.067,14.26,-7.974,13.52
97,-8.299,13.46,5.927,-13.45,26.72,-28.49,-5.927,13.45,-8.299,13.46
98,-8.625,13.38,5.767,-12.66,27.91,-28.08,-5.767,12.66,-8.625,13.38
99,-8.951,13.29,5.587,-11.89,29.07,-27.59,-5.587,11.89,-8.951,13.29
0,13.18,0,-11.15,0,-27.01,0,11.15,0,13.18,0
0,13.04,0,-10.43,0,-26.34,0,10.43,0,13.04,0
0,12.89,0,-9.74,0,-25.59,0,9.74,0,12.89,0
0,12.71,0,-9.072,0,-24.77,0,9.072,0,12.71,0
0,12.51,0,-8.426,0,-23.87,0,8.426,0,12.51,0
0,12.28,0,-7.803,0,-22.91,0,7.803,0,12.28,0
0,12.03,0,-7.202,0,-21.89,0,7.202,0,12.03,0
0,11.76,0,-6.621,0,-20.82,0,6.621,0,11.76,0
0,11.47,0,-6.061,0,-19.7,0,6.061,0,11.47,0
0,11.15,0,-5.521,0,-18.55,0,5.521,0,11.15,0
0,10.81,0,-5.001,0,-17.37,0,5.001,0,10.81,0
0,10.46,0,-4.502,0,-16.16,0,4.502,0,10.46,0
0,10.09,0,-4.024,0,-14.94,0,4.024,0,10.09,0
0,9.693,0,-3.57,0,-13.71,0,3.57,0,9.693,0
0,9.284,0,-3.139,0,-12.47,0,3.139,0,9.284,0
0,8.858,0,-2.733,0,-11.23,0,2.733,0,8.858,0
0,8.417,0,-2.352,0,-9.989,0,2.352,0,8.417,0
0,7.96,0,-1.995,0,-8.762,0,1.995,0,7.96,0
0,7.491,0,-1.663,0,-7.548,0,1.663,0,7.491,0
0,7.009,0,-1.353,0,-6.353,0,1.353,0,7.009,0
0,6.516,0,-1.063,0,-5.18,0,1.063,0,6.516,0
0,6.015,0,-0.7912,0,-4.033,0,0.7912,0,6.015,0
0,5.506,0,-0.5348,0,-2.917,0,0.5348,0,5.506,0
0,4.992,0,-0.2907,0,-1.837,0,0.2907,0,4.992,0
0,4.477,0,-0.05595,0,-0.796,0,0.05595,0,4.477,0
0,3.961,0,0.172,0,0.2014,0,-0.172,0,3.961,0
0,3.448,0,0.3954,0,1.151,0,-0.3954,0,3.448,0
0,2.941,0,0.616,0,2.05,0,-0.616,0,2.941,0
0,2.443,0,0.8349,0,2.894,0,-0.8349,0,2.443,0
0,1.955,0,1.053,0,3.681,0,-1.053,0,1.955,0
0,1.481,0,1.27,0,4.408,0,-1.27,0,1.481,0
0,1.023,0,1.487,0,5.074,0,-1.487,0,1.023,0
0,0.5833,0,1.702,0,5.678,0,-1.702,0,0.5833,0
0,0.1632,0,1.917,0,6.22,0,-1.917,0,0.1632,0
0,-0.2354,0,2.131,0,6.7,0,-2.131,0,-0.2354,0
0,-0.6112,0,2.343,0,7.121,0,-2.343,0,-0.6112,0
0,-0.9632,0,2.556,0,7.485,0,-2.556,0,-0.9632,0
0,-1.291,0,2.77,0,7.795,0,-2.77,0,-1.291,0
0,-1.593,0,2.987,0,8.055,0,-2.987,0,-1.593,0
0,-1.87,0,3.208,0,8.271,0,-3.208,0,-1.87,0
0,-2.122,0,3.434,0,8.446,0,-3.434,0,-2.122,0
0,-2.348,0,3.667,0,8.586,0,-3.667,0,-2.348,0
0,-2.548,0,3.908,0,8.696,0,-3.908,0,-2.548,0
0,-2.723,0,4.158,0,8.78,0,-4.158,0,-2.723,0
0,-2.872,0,4.415,0,8.842,0,-4.415,0,-2.872,0
0,-2.995,0,4.68,0,8.886,0,-4.68,0,-2.995,0
0,-3.093,0,4.949,0,8.916,0,-4.949,0,-3.093,0
0,-3.164,0,5.221,0,8.935,0,-5.221,0,-3.164,0
0,-3.21,0,5.493,0,8.944,0,-5.493,0,-3.21,0
0,-3.231,0,5.76,0,8.947,0,-5.76,0,-3.231,0
0,-3.226,0,6.02,0,8.946,0,-6.02,0,-3.226,0
0,-3.197,0,6.269,0,8.944,0,-6.269,0,-3.197,0
0,-3.145,0,6.502,0,8.943,0,-6.502,0,-3.145,0
0,-3.071,0,6.718,0,8.946,0,-6.718,0,-3.071,0
0,-2.977,0,6.912,0,8.958,0,-6.912,0,-2.977,0
0,-2.866,0,7.083,0,8.982,0,-7.083,0,-2.866,0
0,-2.739,0,7.229,0,9.021,0,-7.229,0,-2.739,0
0,-2.601,0,7.346,0,9.081,0,-7.346,0,-2.601,0
0,-2.452,0,7.435,0,9.163,0,-7.435,0,-2.452,0
0,-2.297,0,7.493,0,9.271,0,-7.493,0,-2.297,0
0,-2.139,0,7.518,0,9.405,0,-7.518,0,-2.139,0
0,-1.979,0,7.51,0,9.567,0,-7.51,0,-1.979,0
0,-1.819,0,7.466,0,9.753,0,-7.466,0,-1.819,0
0,-1.662,0,7.385,0,9.963,0,-7.385,0,-1.662,0
0,-1.509,0,7.265,0,10.19,0,-7.265,0,-1.509,0
0,-1.36,0,7.104,0,10.43,0,-7.104,0,-1.36,0
0,-1.216,0,6.901,0,10.68,0,-6.901,0,-1.216,0
0,-1.078,0,6.654,0,10.93,0,-6.654,0,-1.078,0
0,-0.9445,0,6.362,0,11.17,0,-6.362,0,-0.9445,0
0,-0.817,0,6.026,0,11.4,0,-6.026,0,-0.817,0
0,-0.6953,0,5.646,0,11.61,0,-5.646,0,-0.6953,0
0,-0.5799,0,5.222,0,11.8,0,-5.222,0,-0.5799,0
0,-0.4714,0,4.757,0,11.96,0,-4.757,0,-0.4714,0
0,-0.3708,0,4.254,0,12.1,0,-4.254,0,-0.3708,0
0,-0.2793,0,3.716,0,12.21,0,-3.716,0,-0.2793,0
0,-0.1984,0,3.146,0,12.3,0,-3.146,0,-0.1984,0
0,-0.1294,0,2.55,0,12.37,0,-2.55,0,-0.1294,0
0,-0.07392,0,1.932,0,12.42,0,-1.932,0,-0.07392,0
0,-0.03323,0,1.297,0,12.45,0,-1.297,0,-0.03323,0
0,-0.008364,0,0.6515,0,12.47,0,-0.6515,0,-0.008364,0
0,0,0,0.000002,0,12.47,0,-0.000002,0,0,0